,id,master_id,year,artists,title,labels,styles,master_url,formats,rym_url,rating_value,rating_count
596,8206221,41919,,"[('Return To Forever', 'https://api.discogs.com/artists/41893'), ('Chick Corea', 'https://api.discogs.com/artists/37731')]",Hymn Of The Seventh Galaxy,"[('PD 5536', 'Polydor', 'https://api.discogs.com/labels/1610'), ('PD-5536', 'Polydor', 'https://api.discogs.com/labels/1610')]","['Jazz-Rock', 'Fusion']",https://api.discogs.com/masters/41919,"['LP', 'Album']",https://rateyourmusic.com/release/album/return_to_forever_featuring_chick_corea/hymn_of_the_seventh_galaxy/,3.68,923
597,8574859,26553,,"[('Talk Talk', 'https://api.discogs.com/artists/60480')]",Laughing Stock,"[('00600753655191', 'Polydor', 'https://api.discogs.com/labels/1610'), ('00600753655191', 'Universal Music Group International', 'https://api.discogs.com/labels/138199')]","['Post Rock', 'Experimental', 'Ambient']",https://api.discogs.com/masters/26553,"['LP', 'Album', 'Reissue']",https://rateyourmusic.com/release/album/talk-talk/laughing-stock-1/,4.11,15607
598,3086236,112282,,"[('Jorge Ben', 'https://api.discogs.com/artists/30700')]",A Tábua De Esmeralda,"[('33056-1', 'Polysom', 'https://api.discogs.com/labels/212821')]","['Samba', 'MPB', 'Bossanova']",https://api.discogs.com/masters/112282,"['LP', 'Album', 'Limited Edition', 'Reissue', 'Remastered']",https://rateyourmusic.com/release/album/jorge-ben/a-tabua-de-esmeralda/,4.03,3769
599,2620568,1650940,,"[('Clifford Brown', 'https://api.discogs.com/artists/259082')]",Clifford Brown In Paris,"[('PR 24020', 'Prestige', 'https://api.discogs.com/labels/19591')]","['Bop', 'Hard Bop', 'Big Band']",https://api.discogs.com/masters/1650940,"['LP', 'Compilation']",,,
600,6798406,939404,,"[('Sanford Gold', 'https://api.discogs.com/artists/415784')]",Piano d'Or,"[('PRLP 7019', 'Prestige', 'https://api.discogs.com/labels/19591')]","['Post Bop', 'Easy Listening']",https://api.discogs.com/masters/939404,['LP'],,,
601,10655344,174519,,"[('Sonny Rollins', 'https://api.discogs.com/artists/145264')]",Saxophone Colossus,"[('PRS00092', 'Prestige', 'https://api.discogs.com/labels/19591')]",['Bop'],https://api.discogs.com/masters/174519,"['LP', 'Album', 'Reissue', 'Mono']",https://rateyourmusic.com/release/album/sonny-rollins/saxophone-colossus-6/,3.97,4807
602,1479409,125495,,"[('Charles Earland', 'https://api.discogs.com/artists/44142')]",Intensity,"[('PRST-10041', 'Prestige', 'https://api.discogs.com/labels/19591'), ('PR 10041', 'Prestige', 'https://api.discogs.com/labels/19591')]","['Soul-Jazz', 'Fusion', 'Jazz-Funk']",https://api.discogs.com/masters/125495,"['LP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/charles-earland/intensity-2/lists/,3.52,53
603,3326969,16796,,"[('Soft Machine', 'https://api.discogs.com/artists/152680')]",Volume Two,"[('CPLP 4505', 'Probe', 'https://api.discogs.com/labels/39006'), ('CPLP 4505', 'ABC Records', 'https://api.discogs.com/labels/12220')]","['Psychedelic Rock', 'Prog Rock', 'Experimental']",https://api.discogs.com/masters/16796,"['LP', 'Album', 'Reissue']",https://rateyourmusic.com/release/album/the-soft-machine/volume-two-2/,3.77,3285
604,2953181,1655209,,"[('Tony Mottola', 'https://api.discogs.com/artists/381566')]",Two Guitars For Two In Love,"[('PR 5074 SD', 'Project 3 Records', 'https://api.discogs.com/labels/65317')]","['Bossa Nova', 'Latin Jazz']",https://api.discogs.com/masters/1655209,"['LP', 'Album']",https://rateyourmusic.com/release/album/tony-mottola/two-guitars-for-two-in-love.p/,4.00,1
605,185299,294128,,"[('Ronny Jordan', 'https://api.discogs.com/artists/7449'), ('Mos Def', 'https://api.discogs.com/artists/5648')]",A Brighter Day (DJ Spinna Remix),"[('RWK 241', 'Rawkus', 'https://api.discogs.com/labels/1216'), ('RWK 241', 'Blue Note', 'https://api.discogs.com/labels/281')]",[],https://api.discogs.com/masters/294128,"['12""', '33 ⅓ RPM']",,,
